accountsservice 23.13.9-2
peek 1.5.1-3
perl 5.38.2-1
picom 11.2-1
pipewire-alsa 1:1.0.5-1
pipewire-jack 1:1.0.5-1
pipewire-pulse 1:1.0.5-1
pkgfile 21-2
playerctl 2.4.1-3
polkit-gnome 0.105-10
poppler-glib 24.03.0-1
pv 1.8.9-1
pycharm-community-edition 2024.1-1
python 3.12.3-1
python-dbus-next 0.2.3-5
python-defusedxml 0.7.1-6
python-iwlib 1.7.0-6
python-packaging 23.2-3
python-pandas 1.5.3-4
python-pip 24.0-2
python-pyodbc 5.1.0-1
python-pyqt5 5.15.10-2
python-pywal 3.3.0-9
python-pywayland 0.4.17-2
python-pywlroots 0.16.7-2
python-reportlab 4.1.0-2
python-sqlalchemy 1.4.52-4
qtile 0.25.0-2
qtile-extras 0.25.0-1
rebuild-detector 4.4.3-2
reflector 2023-2
reflector-simple 2023-4
reiserfsprogs 3.6.27-4
rofi 1.7.5-2
rofi-greenclip 4.2-3
rsync 3.3.0-1
rtkit 0.13-2
rygel 1:0.42.5-1
s-nail 14.9.24-2
sassc 3.6.2-4
sg3_utils 1.47-1
simple-scan 46.0-1
slurp 1.5.0-1
smartmontools 7.4-1
snapshot 46.2-1
sof-firmware 2024.03-1
splix 2.0.1-1
sudo 1.9.15.p5-1
sushi 46.0-1
swappy 1.5.1-1
swayidle 1.8.0-1
swaylock-effects-git r470.496059a-1
swww 0.9.4-1
sysfsutils 2.1.1-1
system-config-printer 1.5.18-3
system76-acpi-dkms 1.0.2+12+g03a5804-1
system76-driver 20.04.88-1
system76-firmware-daemon-git 1.0.59.r3.gbe0e0f7-1
system76-power 1.1.26-1
systemd-sysvcompat 255.5-2
telegram-desktop 4.16.8-1
texinfo 7.1-2
timeshift 24.01.1-1
tldr 3.2.0-3
totem 43.0-2
tracker3-miners 3.7.2-1
transmission-gtk 4.0.5-1
ttf-bitstream-vera 1.10-15
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-firacode-nerd 3.2.1-1
ttf-font-awesome 6.5.2-1
ttf-liberation 2.1.5-1
ttf-ms-fonts 2.0-12
ttf-opensans 1.101-2
ttf-vista-fonts 1-11
unrar 1:7.0.8-1
unzip 6.0-20
usb_modeswitch 2.6.1-3
usbutils 017-1
variety 0.8.12-2
veracrypt 1.26.7-1
vi 1:070224-6
vim 9.1.0378-1
welcome 24.5.8-1
wget 1.24.5-1
which 2.21-6
wireplumber 0.5.2-1
wlogout 1.2.2-0
wlr-randr 0.4.1-4
wlroots 0.17.2-1
wpa_supplicant 2:2.10-8
xdg-desktop-portal 1.18.4-1
xdg-desktop-portal-gnome 46.1-1
xdg-desktop-portal-wlr 0.7.0-2
xdg-user-dirs 0.18-1
xdg-user-dirs-gtk 0.11-2
xdg-utils 1.2.1-1
xf86-input-libinput 1.4.0-1
xfsprogs 6.7.0-1
xl2tpd 1.3.18-1
xorg-server 21.1.13-1
xorg-xdpyinfo 1.3.4-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkill 1.0.6-1
xorg-xrandr 1.5.2-1
xsane 0.999-6
xterm 390-1
yay 12.3.5-1
yelp 42.2-2
yt-dlp 2024.04.09-2
zoom 6.0.2-1
zsh 5.9-5
